Date_wise,Flight_No,Airlines_Name,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_estimated,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_estimated,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
04-07-2022,I5 1982,FlexFlight,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,06:45 IST,06:42 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:20 IST,08:32 IST,,Arrived,On time,,1h 50m,518 mi,32N,Airbus A320neo
04-07-2022,6E 413,SpiceJet,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,04-07-2022,06:00 IST,06:00 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:25 IST,08:26 IST,,Arrived,On time,,2h 26m,960 mi,73H,Boeing 737-800 (winglets) Passenger/BBJ2
04-07-2022,G8 317,Vistara,PNQ,Pune,Pune Airport,04-07-2022,06:55 IST,06:39 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:30 IST,08:07 IST,,Arrived,On time,,1h 28m,449 mi,32N,Airbus A320neo
04-07-2022,W2 8999,Go First,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,05:50 IST,05:46 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:35 IST,08:20 IST,,Arrived,On time,,2h 34m,1062 mi,,
04-07-2022,SG 516,FlexFlight,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,05:50 IST,05:46 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:35 IST,08:20 IST,,Arrived,On time,,2h 34m,1062 mi,32N,Airbus A320neo
04-07-2022,UK 552,IndiGo,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:00 IST,05:55 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:35 IST,08:52 IST,1,Arrived,Delayed,17m,2h 57m,1062 mi,,
04-07-2022,G8 113,KLM,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:00 IST,05:55 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:35 IST,08:52 IST,1,Arrived,Delayed,17m,2h 57m,1062 mi,32Q,Airbus A321neo
04-07-2022,W2 8897,IndiGo,MAA,Chennai,Chennai Airport,04-07-2022,07:45 IST,08:13 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:40 IST,09:23 IST,1,Arrived,Delayed,43m,1h 10m,166 mi,32N,Airbus A320neo
04-07-2022,6E 6612,IndiGo,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,07:00 IST,06:46 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:45 IST,08:38 IST,1,Arrived,On time,,1h 52m,518 mi,32N,Airbus A320neo
04-07-2022,KL 3646,Vistara,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,07:30 IST,07:27 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:45 IST,08:35 IST,,Arrived,On time,,1h 8m,283 mi,,
